,0
131,"Glenfiddich's inaugural Golf Invitational at Serapong Golf Course, Sentosa, offered a unique experience to 80 guests who purchased 30-year-old Glenfiddich whisky. The event featured three innovative tee challenges inspired by Glenfiddich's whisky-making process, which emphasized cask selection, innovative techniques, and consistency. Despite an unexpected storm, the celebratory atmosphere continued with Glenfiddich beverages and a tailored dinner menu. Prizes were awarded, including a trip to Scotland to visit the Glenfiddich distillery, and all attendees received exclusive gifts. The event's success has led to its establishment as a continuing series."
132,"Dominica plans to establish the world's first Sperm Whale Reserve, covering an 800 sq km area off its western coast. The reserve aims to protect the approximately 200 sperm whales residing in the area, which have faced threats from ship strikes, entanglements, and plastic pollution. Vessels larger than 18m will be prohibited, while small-scale fishing will be allowed. The reserve is also significant for its potential climate benefits, as sperm whale feces promote plankton growth, which absorbs carbon dioxide and mitigates climate change. The reserve's regulations will be enforced through a new law to ensure its success."
133,"A 36-year-old man will face court charges for allegedly shooting at birds with a catapult in Jurong West. His actions resulted in damage to a Housing Board flat's kitchen window. During his arrest, officers seized catapults, pellets, and a target practice figure. He faces charges of carrying offensive weapons, committing a rash act, and animal cruelty, with potential penalties including jail time and fines."
134,"McDonald's Singapore has discontinued offering whipped cream with its frappes, prompting mixed reactions online. Some netizens support the move due to the whipped cream's lack of nutritional value, while others express disappointment and question whether cost-cutting is the motivation. Earlier, McDonald's also discontinued its Sweet 'N Sour Sauce. The company states that the whipped cream removal aims to reduce saturated fat content and that the frappe recipe has been adjusted to maintain its taste without added sugar."
135,"At the Venice Film Festival, Ava DuVernay became the first African American woman to present a movie in competition with her film, Origin. The film explores race and discrimination through the lens of journalist Isabel Wilkerson's book, Caste. DuVernay faced skepticism from those who doubted the international appeal of her story but defied them by securing a spot in the competition. Origin, made independently, features a diverse cast portraying real-life figures, including Dr. Suraj Yengde. The film is among 23 competing for the Golden Lion award."
136,"The Singapore Writers Festival featured insightful panels on literature and identity. A discussion on diaspora explored the concepts of Nusantara, Thinai, and Nanyang, highlighting the unique experiences of writers from Malay, Tamil, and Chinese communities. Conversely, a panel on independent bookstores revealed a thriving scene in Taiwan with over 200 stores, supported by government subsidies. In Singapore and Malaysia, there are fewer than 20 independent bookstores, raising concerns about relying on government funding for sustainability. The festival also paid tribute to the late writer Yeng Pway Ngon, whose legacy continues to inspire aspiring booksellers."
137,"Dr. Stanley Quek, a Singaporean entrepreneur, has been named a recipient of the Irish Presidential Distinguished Service Award for his significant contributions to Ireland. As a former honorary Irish consul-general in Singapore and chairman of the Ireland Funds Singapore, Dr. Quek has played a pivotal role in fostering connections between Ireland and Singapore, known as the ""green dot"" and ""red dot,"" respectively. He has supported educational programs, community development, and cultural exchange initiatives. Dr. Quek's work has also focused on supporting Irish medical students in Singapore and fostering a strong Irish community in the city-state."
138,"The Ubud Writers & Readers Festival in Bali, now in its 20th year, is distinguished by its focus on fostering connections and community in a relaxing and verdant setting. While it shares some similarities with the Singapore Writers Festival (SWF), the Ubud festival offers a distinct experience.

The Ubud festival's attendees are primarily international, with fewer Indonesian participants. In contrast, SWF boasts a significant local audience. However, Ubud aims to provide a diverse array of voices, including both Indonesian and non-Indonesian speakers. The panels at Ubud often grapple with global issues, potentially limiting the relevance to local concerns.

Ubud's high ticket prices present a barrier to affordability for some attendees, especially young writers. In contrast, SWF offers more accessible ticket options. Despite the age gap, both festivals strive to engage younger audiences through diverse programming and social media engagement.

The Ubud festival emphasizes accessibility, with open spaces where attendees can mingle freely. In comparison, SWF's location in Singapore's Civic District may convey a sense of formality. Some attendees suggest exploring alternative venues for SWF to create a more relaxed and interactive atmosphere."
139,"SingHealth will establish a centralized telehealth hub at Eunos Polyclinic, housing clinical and administrative staff under one roof. The hub aims to streamline telehealth services, with soundproof pods for consultations. Minister Ong Ye Kung emphasized the importance of telemedicine in addressing the growing healthcare demand, particularly for primary care and chronic condition follow-ups. The hub's opening date is yet to be announced. SingHealth Polyclinics has already conducted over 36,000 video consultations and plans to expand its services, including physiotherapy and blood pressure monitoring programs. The TeleHealth Service for Seniors will be extended to all SingHealth polyclinics for the benefit of elderly patients. Singapore continues to expand its primary care capacity with the opening of Tampines North Polyclinic and announcements of future polyclinic openings in the coming years"
140,"Amidst China's education industry upheaval, private schools, including Dulwich College International, are facing challenges and re-evaluating their future. Stringent regulations, economic slowdown, and declining foreign students have led to closures and mergers. Dulwich College International is considering selling its China-heavy Asia operations, while other private schools are also exploring asset sales. China's shift towards self-sufficiency in education, including mandated Chinese curriculum in private schools, has reduced the demand for bilingual and international schools. Geopolitical tensions have further contributed to the decline in foreign student enrollment. Universities are relaxing English language requirements, potentially reducing the need for Western talent in China's science and technology development."
141,"An antiseptic mouth rinse with antiviral properties has been launched to combat the spread of viruses like Covid-19. Developed by the National Dental Centre Singapore and Pearlie White, the rinse suppresses viral load in the mouth, reducing transmission through saliva. The formula includes cetylpyridinium chloride, proven effective in suppressing SARS CoV-2 virus for up to six hours after use. The rinse also protects against tooth decay and bad breath, making it suitable for daily use. It is expected to reduce cross-infection in healthcare settings, especially during aerosol-generating procedures like intubation. The launch marks a successful collaboration between oral health research expertise and industry knowledge, creating a unique product to benefit the public."
142,"ClavystBio, a biotech investment firm, has established a new research center, Node 1, within Singapore Science Park. The facility provides laboratory and office resources to four of ClavystBio's portfolio companies, fostering collaboration and scientific innovation. One of these companies, Paratus Sciences, values the space for its research and development focus. Node 1 also houses venture capital partner Polaris Partners and hosts 65Lab, an incubator focused on drug discovery, in collaboration with research institutions like A*Star and NUS. Deputy Prime Minister Heng Swee Keat emphasized the importance of life science start-ups in Singapore's biomedical innovation and the government's support through its Research, Innovation and Enterprise 2025 plan. ClavystBio aims to advance Singapore as a global life sciences hub by facilitating partnerships and commercializing local scientific breakthroughs."
143,"In recent years, fascia, the tissue connecting muscles, has gained attention for its role in overall health. Researchers have discovered that fascia is vital for flexibility, range of motion, and pain management. While dense fascia provides structural support, loose fascia allows for smooth movement. Damage to fascia can result from prolonged inactivity, repetitive motions, stress, or injury. Maintaining healthy fascia involves regular resistance training, exercises with varying movements, and dynamic stretching. Staying hydrated and avoiding excessive pressure on fascia are also recommended. While treatments such as foam rolling and massage may provide temporary relief, ongoing activity remains the most effective means of caring for fascia."
144,"EU foreign ministers are discussing a humanitarian ceasefire in the ongoing Israel-Hamas conflict. However, there is disagreement on the best approach for delivering aid to Palestinians in Gaza. EU foreign policy chief Josep Borrell supports a ""humanitarian pause,"" while Swedish foreign minister Tobias Billstrom prefers a UN proposal for a humanitarian corridor."
145,"The Israeli military alleges that the basement of Rantissi Hospital in Gaza, a children's hospital specializing in cancer treatment, was used by Hamas as a command center and to store weapons, including grenades, suicide vests, and explosives. They also claim to have found evidence that hostages were held there, including living quarters and a tunnel leading to the residence of a Hamas naval commander. The military claims that a motorcycle with gunshot marks was used to transport hostages after a Hamas attack on southern Israel, resulting in the deaths of approximately 1,200 people and the taking of 240 hostages. In response, Israel has been conducting airstrikes on Gaza, allegedly killing over 11,000 people. The military has further accused Hamas of using hospitals and civilians as human shields, which Hamas and hospital authorities deny."
146,"Amidst Israel's offensive in Gaza, the buckling health service is relying on volunteers to sustain emergency services. Despite dozens of volunteers responding, more are urgently needed. Medical staff have endured relentless work, witnessing horrific scenes of violence and grief. Gaza's health ministry reports over 8,000 fatalities and 116 medical staff deaths since October 7th. Israeli airstrikes and artillery have severely damaged hospitals and cut off essential supplies. Ambulances face challenges navigating rubble-strewn roads and lack fuel, while communication disruptions hinder coordination of rescues. Thousands of civilians have sought shelter at hospitals, but airstrikes have targeted the vicinity of these medical centers."
147,"British Prime Minister Rishi Sunak discussed the need to avoid destabilization in the Middle East with Saudi Crown Prince Mohammed bin Salman and the Emir of Qatar, Sheikh Tamim bin Hamad al-Thani, in telephone calls. Both leaders emphasized the importance of preventing further instability in the region amidst the Israel-Palestine conflict."
148,"The United States has assisted over 400 American citizens, permanent residents, and eligible individuals in evacuating the besieged Gaza Strip. The State Department continues to work with Egypt and Israel to secure safe passage for more US citizens and their families. The departure of US citizens is an ongoing situation, with the number expected to increase. As of Tuesday, 526 trucks carrying humanitarian supplies had entered Gaza through the Rafah crossing. Despite calls for a ceasefire, both Israel and Hamas maintain their positions, with Israel demanding the release of hostages and Hamas refusing to halt fighting while Gaza is under attack."
149,"Hezbollah has escalated violence along the Israeli-Lebanese border by launching airstrikes on Hezbollah targets, including explosive drones. Israel has responded with airstrikes, tank, and artillery fire. The conflict has intensified since the Hamas-Israel war on October 7th, resulting in casualties near the village of Hula. Despite calls for calm, Hezbollah leader Hassan Nasrallah is expected to address the situation in a speech on Friday. The situation remains tense, with both sides exchanging heavy fire."
150,"The Singapore Red Cross (SRC) is sending US$200,000 worth of relief supplies, including hygiene kits, clean water, food provisions, and medical consumables and equipment, to the victims of the Hamas-Israel conflict in Gaza. The SRC has deployed a staff member to Cairo, Egypt to work with the Egyptian Red Crescent (ERC) in identifying immediate and critical needs in Gaza and facilitating the delivery of relief supplies. The SRC and ERC are working closely to coordinate humanitarian aid into Gaza through the Rafah border crossing. Due to limited humanitarian aid and challenging conditions, the SRC is urging all parties involved to uphold their responsibilities under international humanitarian law, protect civilians, and enable unhindered critical humanitarian aid into Gaza."
151,"The Dubai Airshow, scheduled for November 13-17, will take place amidst the ongoing Israel-Hamas conflict, which has disrupted airspace and increased demand for weapons. While the conflict is unlikely to cancel planned orders, airlines in areas with high growth aspirations may reconsider their plans. Despite the challenges, the show is expected to see orders for long-haul jets, particularly wide-body aircraft such as the Airbus A350 and Boeing 777X. Saudi Arabia's Riyadh Air is likely to announce a significant order for narrow-body planes, with Boeing holding an advantage in the competition."
152,"Hamas claims Israel has not resumed water supplies to Gaza, while Israel asserts that water is being provided to an area in the enclave's south. Israel had previously suspended water supply as part of a siege following Hamas attacks in October. Despite Israel's announcement that water supplies would resume, Hamas says there has been no change. Israel maintains that water is being supplied to Bnei Sahila in southern Gaza, but the amount provided remains unclear."
153,"**Summary:**

Hundreds of protesters in Yerevan demanded government support for Nagorno-Karabakh after its surrender to Azerbaijan. The protesters, predominantly young, believe Armenia should assist Artsakh (Nagorno-Karabakh) in fighting Azerbaijan. They reject the idea of Artsakh's return to Baku's control and fear further Armenian territory loss. Azerbaijan has stated its intention for a peaceful reintegration of Karabakh's Armenians, dismissing accusations of ethnic cleansing. Protesters also called for the resignation of Armenian Prime Minister Nikol Pashinyan, who has faced criticism for his perceived insufficient support from Russia during the conflict."
154,"Despite potential election-related pressures, British Defense Minister Grant Shapps believes the United States and Poland will sustain their support for Ukraine. Britain remains committed to supporting Kyiv. Poland has temporarily halted arms deliveries to replenish its own stocks, while the US budget deal did not include Ukraine aid. NATO Secretary General Stoltenberg and President Biden express confidence in Poland's continued support. Shapps expects US aid to continue regardless of the upcoming election and urges against overinterpreting the US budget process. The worst-case scenario of a Donald Trump presidency is not Shapps' primary concern, and Britain will maintain a leadership role in supporting Ukraine."
155,"Russia has urged the International Court of Justice to dismiss Ukraine's genocide case, claiming the court lacks jurisdiction. Ukraine filed the case following Russia's invasion, alleging misuse of international law. Russia maintains that Ukraine has not accused Russia of genocide and disputes the court's authority in the matter. The court will consider jurisdictional arguments in hearings that will conclude on September 27th, focusing on legal technicalities rather than the merits of the case. While the ICJ has limited enforcement power, an eventual ruling in Ukraine's favor could have implications for future reparations claims."
156,"Following a ceasefire agreement, thousands of Armenians in Nagorno-Karabakh gathered at the airport where Russian peacekeepers are stationed. Separatist forces urged citizens not to panic and not to evacuate the airport. The ceasefire requires representatives of Armenians in Karabakh to meet with Azerbaijani authorities on Thursday. Amidst historical claims and accusations of ethnic cleansing, Armenia and Azerbaijan dispute control over the region, which is internationally recognized as part of Azerbaijan. Russian peacekeepers are reportedly overseeing the situation."
157,"President Zelenskiy reported that Ukrainian troops are holding their ground in Avdiivka despite intensified fighting with Russian forces. Russian forces have redirected significant resources to Avdiivka and launched a major offensive, according to Ukrainian officials. The fighting has intensified as Russia counters Ukraine's eastern counteroffensive. The town, which houses a coking plant, has suffered extensive damage due to the conflict."
158,"Following the ceasefire between Azerbaijan and the ethnic Armenian leadership of Nagorno-Karabakh, aid delivery and evacuation efforts are underway. Russian peacekeepers are facilitating the handover of Armenian weapons to Azerbaijan, and the Armenian separatists are discussing the region's future. The first aid convoy from the International Committee of the Red Cross has entered Karabakh, providing food and evacuating wounded individuals. Azerbaijan has promised to protect Armenian civilians and provide them with assistance. US Senator Gary Peters has called for international observers and transparency in the region. Despite the ceasefire, many Karabakh Armenians remain displaced and fear persecution."
159,"A Russian blogger, Alexander Nozdrinov, was sentenced to eight and a half years in prison for allegedly posting ""fake news"" about Russia's offensive in Ukraine. Nozdrinov had posted videos criticizing highway patrol officers in his region. He was arrested after posting a photo of destroyed buildings with the caption ""Ukrainian cities after the arrival of liberators."" The court alleged that Nozdrinov had sent the photo, while his wife denied it and claimed his arrest was orchestrated by police in retaliation for his videos. The sentencing is part of Russia's crackdown on dissent since the invasion of Ukraine."
160,"Ethnic Armenian separatists report a major escalation in Azerbaijan's Nagorno-Karabakh region, as Azerbaijan launches an ""anti-terrorist operation."" Azerbaijan claims to be targeting Armenian military units, while Armenia denies having troops in the region.

Russia, which brokered a ceasefire in 2020 and deployed peacekeepers, expressed concern and urged an end to hostilities. Azerbaijan's foreign ministry insists on Armenian troops leaving and the dissolution of the local separatist authority. The separatist authority alleges Azerbaijan is attacking along the front line and attempting to advance into the territory."
161,"The International Criminal Court experienced a September cyberattack that was an attempted espionage operation. The court clarified that the attackers' identities remain unknown. While no data theft has been confirmed, the court stated that affected individuals would be notified if such a breach occurred. Despite the incident, the court continues to investigate alleged war crimes in various countries, including the ongoing investigation into Russian President Vladimir Putin's alleged deportation of Ukrainian children."
162,"The newly constructed Laos-China Railway is transforming Luang Prabang, Laos, by increasing cross-border passenger traffic and attracting Chinese investment. Chinese tourists are flocking to the town, stimulating the local economy and participating in cultural activities such as the alms-giving ritual. Chinese investors are also opening businesses, such as hotels, leading to increased Mandarin being spoken in unexpected places."
163,"Chinese Americans have played significant roles in US history, from gold mining to scientific advancements. Despite initial discrimination, milestones have included the first Chinese arrival in 1785, the naturalization ban's repeal in 1952, and the involvement of Chinese Americans in World War II. Notable figures include I.M. Pei in architecture, Wu Chien-Shiung in physics, and Amy Tan in literature. However, anti-Asian hate crimes have increased recently, prompting the Covid-19 Hate Crimes Act and the release of a report on federal responses to such crimes."
164,"The Aukus security partnership faces criticism in Australia, particularly regarding the A$368 billion nuclear submarine transfer program. Former Foreign Minister Bob Carr raises concerns about the US potentially prioritizing its own needs over Australia's when transferring submarines in the future. The US Navy acknowledges delays in submarine production due to worker shortages, pandemic disruptions, and production schedule issues. The US is urged to address these concerns promptly, as Aukus is crucial to Australia's commitment to the US alliance and its defense strategy in the Indo-Pacific region."
165,"A proposal by the Tourism Authority of Thailand (TAT) to have Chinese police patrol tourist areas to increase Chinese tourist confidence has been dismissed by a senior police officer. The officer, who requested anonymity, stated that Thai law prohibits foreign officials from participating in Thai police operations. The TAT governor, Ms. Thapanee Kiatphaibool, had suggested the measure in response to concerns raised by Prime Minister Srettha Thavisin about false reports negatively impacting tourism. However, the proposal faced criticism on social media, with netizens opposing foreign authority over Thai territory. Police representatives clarified to the Prime Minister that the proposal was not feasible due to legal restrictions. Instead, they proposed information exchange with Chinese counterparts to improve confidence. The Prime Minister has requested all relevant agencies to provide their opinions on the matter by Wednesday."
166,"Japanese Prime Minister Kishida and Chinese President Xi Jinping discussed resolving the dispute over Fukushima wastewater through science-based dialogue. Xi emphasized Japan's responsibility in handling the discharge, while Kishida requested an end to seafood import bans imposed by China. The talks also covered trade issues, with Japan and China agreeing to establish an export control dialogue and restart high-level economic discussions. Additionally, Kishida raised concerns about the situation in the East China Sea and detained Japanese citizens in China. The summit highlighted efforts to improve Japan-China relations, despite ongoing disagreements, including a territorial dispute over uninhabited islands near Taiwan."
167,"In the past 24 hours, Taiwan's defense ministry detected 27 Chinese military aircraft, including fighter jets, entering its air defense zone. The majority of the aircraft were flying in the waters southwest of Taiwan. Taiwan has previously expressed concern over increased Chinese military activity near the island, which China considers its own territory."
168,"In response to the ongoing Myanmar crisis, ASEAN leaders have taken steps to enhance engagement with Myanmar and make it more effective. A new troika comprising Cambodia, Indonesia, and Laos has been established to collectively engage with parties in Myanmar. The ASEAN leaders reiterated the importance of the five-point consensus (5PC) as the primary framework for addressing the crisis. They emphasized the need for dialogue, an end to violence, and humanitarian assistance. Prime Minister Lee Hsien Loong acknowledged that addressing the situation in Myanmar will take time and sustained engagement."
169,"Malaysia has penalized 400 companies in 2022 for labor violations, totaling 2.4 million ringgit (S$693,000) in fines. The offenses include illegal wage deductions. The move is part of Malaysia's efforts to eliminate forced labor practices by 2030, following US bans on Malaysian companies over worker abuse allegations."
170,"In the ""Speaking of Asia"" podcast, experts discuss Australia's relations with China following Prime Minister Albanese's visit. They analyze the tensions that escalated during the Scott Morrison government and assess the current state of the relationship. The episode also examines the future of the Indo-Pacific strategy, the status of the Aukus nuclear submarine deal consensus in Australia, and the potential impact of the Quad on China's behavior."
171,"A recent survey by SG Her Empowerment found that around 60% of online users in Singapore have experienced or know someone who has encountered online harms such as cyberbullying, sexual harassment, and identity theft. Younger individuals, particularly females aged 15-24, are more likely to face these issues. The survey highlights the need for enhanced online safety measures, as online harms can significantly impact individuals' mental and physical well-being. The findings will be discussed at the upcoming Online Harms Symposium organized by the Ministry of Law and Singapore Management University."
172,"Ryuji Kimura, 24, has been charged with attempted murder for allegedly throwing a pipe bomb at Japanese Prime Minister Fumio Kishida during a campaign event in April. Kimura was arrested at the scene and has remained silent since. The incident occurred less than a year after the assassination of former Prime Minister Shinzo Abe. Suspected gunpowder, pipe-like objects, and tools were found at Kimura's home after the attack. Before being charged, Kimura underwent psychiatric evaluation for three months."
173,"An adviser to the French top administrative court has recommended rejecting a class action lawsuit against the state for police inaction on racial profiling. The adviser maintains that the government cannot be held responsible for a lack of reform. However, a lawyer for the human rights groups behind the lawsuit, including Amnesty International and Human Rights Watch, has urged the court to consider the statements of 40 victims and police. The groups argue that dismissing the case would ignore the pain experienced by victims. The State Council will make a decision in the coming weeks, with the adviser's opinion typically followed in most cases."
174,"In Perpignan, France, a 28-year-old father has been charged with murdering his 7-year-old son. His body was found partially frozen in the apartment's bathtub, with visible bruises. The father has also been charged with attempting to murder his 3 and 4-year-old daughters, who have been hospitalized with multiple scars. The boy's uncle and grandmother have been charged with failing to report the crime. The exact circumstances of the murder remain unclear, and an autopsy is scheduled for Monday."
175,"Carnival Australia was found liable for misleading passengers about COVID-19 risks on a 2020 cruise. In a landmark ruling, the Federal Court ordered Carnival to cover the medical expenses of a passenger who contracted the virus. The court ruled that Carnival should have canceled the voyage and failed to implement adequate safety measures. The lead plaintiff, Susan Karpik, received expenses reimbursement but no damages for her husband's hospitalization and psychological distress. Carnival is likely to face further damages for other plaintiffs, including Karpik's husband. The case represents a significant victory for cruise passengers and highlights the challenges in holding cruise operators accountable in class action lawsuits."
176,"In India, a junior doctor named Akash Kaushal has been suspended following a viral video showing him repeatedly slapping and berating an HIV-positive patient who failed to disclose his status. The incident occurred at Maharaja Yeshwantrao Hospital in Indore, where the patient was admitted with a fractured leg. Kaushal was incensed by the patient's omission of his HIV status, as it posed a risk to the doctor and other staff. A three-member panel has been appointed to investigate the case, and further action will be taken based on their report. The incident has sparked public outrage and discussions on appropriate hospital protocols for handling HIV-positive patients."
177,"The British Ministry of Defense is addressing allegations of a hostile work environment, sexual assault, and harassment made by senior female staff. A letter from 60 women detailed experiences of propositioning, groping, and unwanted attention. The ministry acknowledges these concerns and vows to take action. This follows similar allegations within other prominent British institutions, including Parliament and the Metropolitan Police. Senior civilian women at the Ministry of Defense claim the behaviors are tolerated and that previous complaints were dismissed. The FDA union urges prompt action and a meeting with the department."
178,"Despite primarily interacting with technology, the author finds solace in relics and burial sites that physically connect them to Singapore's past. Bomb relic discoveries and construction near their home evoke thoughts of war victims and soldiers. The author reflects on the presence of buried history in Singapore, including the Kwong Wai Siew Peck San Theng site in Bishan, where a cemetery once existed. War relics and remains remind them of the area's complex history. The Mount Vernon Columbarium Complex, once the resting place of their father, has given way to new developments in Bidadari. The author finds comfort in visiting the nearby memorial garden, which houses relics and headstones from the former Bidadari burial site, contemplating the mourners and individuals buried there. They encourage others to physically visit these sites to connect with the past and appreciate the layers of history beneath their feet."
179,"On October 29, 2022, a crowd crush in Seoul's Itaewon district during Halloween festivities claimed over 150 lives. In memory of the victims, families will install memorials at the site, unveiled on October 26. ""The Path of Memory and Safety"" will feature a signboard, bulletin boards with descriptions and messages, and stone plaques marking the start and end of the accident alley. The memorials will include tributes in 14 languages for the foreign victims and will remain until permanent memorials are established. The families emphasize the importance of remembering and mourning the tragedy to prevent similar incidents."
180,"Four tribal warrior skulls from Taiwan, held by a Scottish university since 1907, have been repatriated as a milestone of transitional justice for indigenous peoples. The skulls, taken by Japanese soldiers in 1874, were returned to the Paiwan people of Mudan township. The repatriation followed a request by Taiwan's Council of Indigenous Peoples and reflects the university's commitment to addressing its colonial legacy by returning items to appropriate cultural representatives. The skulls will be placed in the National Museum of Prehistory, with the final resting place to be determined by the Mudan community."
181,"In 2022, the remains of a British climber who had been missing since 1971 were found on a glacier in the Swiss Alps. The discovery was possible due to the melting of glaciers caused by global warming. The climber was identified through DNA analysis with the assistance of Interpol Manchester and the police in Scotland. This incident is part of a trend of remains being discovered as glaciers recede."
182,"In a controversial incident, a woman scattered the ashes of her deceased brother into a swimming pool at the popular Ibiza club, Ushuaia. The act, captured in a video, sparked outrage on social media, with users condemning the woman's behavior. The video showed the woman dancing and pouring the ashes into the pool, where other partygoers were present. The backlash on social media led to calls for the woman's arrest, with some users expressing disgust and criticizing her for disrespectfully disposing of the ashes in a public pool."
183,"On Saturday, a series of earthquakes struck western Afghanistan, with a magnitude-6.3 quake causing the most damage. The death toll has risen to over 2,000, with 1,300 homes destroyed. The US Geological Survey reported an aftershock of magnitude 4.2 on Sunday morning. Bodies are being recovered and buried in mass graves, and over 200 injured individuals have been admitted to hospitals. The earthquakes triggered panic in Herat, and residents in the rural Zinda Jan district reported extensive damage, with families trapped under collapsed homes. The disaster has exacerbated the ongoing humanitarian crisis in Afghanistan, which is already grappling with drought and poverty."
184,"The US military located the debris of an F-35 fighter jet in South Carolina on Monday, a day after the aircraft crashed. The pilot had ejected safely, and a search team discovered the wreckage in Williamsburg County, two hours northeast of Joint Base Charleston. The F-35B Lightning II jet is known for its stealth capabilities and advanced features."
185,"Since 2015, France has experienced numerous terrorist attacks. These attacks include the 2015 Charlie Hebdo shooting, the 2015 Paris attacks, the 2016 Nice truck attack, and the recent knife attack in Arras in 2023. The attacks have led to the deaths of many people and have heightened concerns about terrorism in France. The government has taken steps to combat terrorism, including increasing security measures and working with international partners."
186,"During a Jehovah's Witnesses convention in Kerala, India, a homemade bomb exploded, resulting in one fatality and injuries to dozens of attendees. The police have apprehended a suspect who surrendered and are conducting detailed interrogations. A special investigation team has been appointed. Preliminary investigations indicate the use of an improvised explosive device. The National Security Guard is assisting with the investigation, and strict action will be taken against those involved."
187,"The European Union (EU) has canceled its election observation mission for the Democratic Republic of Congo's December 20th general elections due to security concerns. The EU stated it cannot deploy observers countrywide. Tensions are high in the lead-up to the elections, with an opposition activist killed at a rally, and opposition candidates expressing concerns about the fairness of the vote. The Congolese electoral commission denies these allegations. The authorities have raised issues with the EU's use of satellite equipment and imposed conditions that hinder observers from working independently outside Kinshasa. The EU is considering maintaining a mission of electoral experts in the capital to observe the process remotely."
188,"The global economy remains resilient despite facing significant shocks in recent years, including COVID-19, supply chain disruptions, and the Russia-Ukraine conflict. However, long-term growth prospects have declined, particularly in emerging and developing countries, leading to rising poverty and inequality. Inflation is showing signs of easing without triggering recessions, but risks persist, including China's property crisis and further commodity price volatility. Fiscal policy constraints are also expected to tighten. Despite resilience, global output will be lower than pre-pandemic forecasts, with disproportionate impacts on poorer nations. Long-term economic divergence between high- and low-income countries is increasing, with emerging economies facing longer timelines to close the gap in living standards. Climate change, rising real interest rates, and geopolitical tensions pose further challenges to long-term growth and stability. Addressing these global issues requires political solutions, but collective action is hindered by short-sightedness and poor decision-making. The IMF and World Bank need a significant increase in resources to support developing countries, but such support is unlikely due to current political dynamics."
189,"The IMF and World Bank will proceed with their annual meetings in Morocco in October as planned, despite the devastating earthquake in September. The decision was made after an assessment determined that the meetings will not interfere with relief efforts. The meetings aim to provide support to Morocco. The earthquake struck in the High Atlas mountains, damaging areas around Marrakech. The government has pledged aid and rebuilding funds, while makeshift camps have been established. The IMF has approved a loan of US$1.3 billion to enhance Morocco's climate resilience. Preparations for the meetings are underway, including infrastructure upgrades and security measures. Morocco's tourism industry hopes to mitigate the impact of the earthquake on the upcoming peak season."
190,"The United States has expressed concern over the Sudanese paramilitary Rapid Support Forces (RSF) shelling civilian areas in South Darfur and Omdurman. The fighting, which began on April 15, has devastated the capital Khartoum and sparked ethnic violence in Darfur. The U.S. has called on the RSF to stop shelling and protect civilians."
191,"France's Foreign Minister has stated that France is prepared to assist Morocco in responding to a recent earthquake, despite the absence of an official request from Morocco. France has criticized the ""misplaced controversy"" surrounding this issue and has committed 5 million euros to aid organizations operating in Morocco. Morocco has declined to seek French assistance, possibly due to ongoing tensions over the Western Sahara conflict. Despite attempts to downplay tensions, a planned visit by President Macron to Morocco has been delayed multiple times. France has sought to balance its relations with Morocco and Algeria, which supports the Polisario Front's independence movement in Western Sahara. Four French citizens were among the over 2,000 killed in the earthquake, and there is a significant Moroccan diaspora in France."
192,"Prince William met with UN Secretary-General Antonio Guterres in New York to discuss climate change initiatives and Sustainable Development Goals implementation. The UN will host a climate summit on Wednesday to address the urgency of addressing climate change. Leaders gather at the UN this week to discuss progress on the Sustainable Development Goals. Prince William participates in the Earthshot Prize Innovation Summit, highlighting the search for environmental solutions."
193,"Conflict and violence in the Democratic Republic of Congo have displaced a record 6.9 million people, primarily in the eastern provinces. The escalation of conflict, particularly involving the M23 rebel group in North Kivu, has led to the displacement of approximately one million people. The International Organization for Migration has provided emergency shelters and supplies, but funding constraints hamper relief efforts. The ongoing humanitarian crisis, fueled by years of conflict and natural disasters, remains a significant challenge."
194,"Nigerian President Bola Tinubu has ordered the immediate recall of all Nigerian ambassadors worldwide, excluding UN representatives in New York and Geneva due to the upcoming UN General Assembly. The recall aims to improve the efficiency and quality of foreign and domestic service delivery. President Tinubu plans to discuss reforms with world leaders at the UNGA and G20 meetings."
195,"COP28 president-designate Sultan Al Jaber emphasizes the urgent need to prioritize adaptation in global climate efforts. In light of the severe climate impacts faced by the Middle East and North Africa (MENA) region, Jaber calls for doubling adaptation finance and replenishing the Green Climate Fund to enable vulnerable communities to adapt to climate change."
196,"A Malaysian Chinese boy named Kai Kai has become an internet sensation for his fluency in Tamil. His videos showcasing his Tamil-speaking abilities, such as making mango lassi with his neighbor Kartik Suresh, have garnered millions of views on TikTok. Netizens have praised Kai Kai's language skills and the harmonious interactions between the neighbors of different ethnicities. Kai Kai's bond with Suresh's mother is also highlighted, as seen in a video where he expresses his disappointment to her about being denied a drink and pizza."
